"GDDM","GDXM","BCRQ","CJBH","GSDM","CJSL","BCYE","ZQDM","SBSJ","CJSJ","CJJG","CJJE","SQBH","BS","MJBH"
"D890755588","","20090317",1399659,"21257",5000,344729,"600596","103443","103443",38.54,192700,"  00000228","B","23136"
"D890755588","","20090317",1399660,"21257",200,344929,"600596","103443","103443",38.54,7708,"  00000228","B","23136"
"D890755588","","20090317",1412453,"21257",471,345400,"600596","103443","103517",38.54,18152.34,"  00000228","B","23136"
"D890755588","","20090317",1440177,"21257",1000,346400,"600596","103637","103637",38.54,38540,"  00000234","B","23136"
"D890755588","","20090317",1440178,"21257",1000,347400,"600596","103637","103637",38.54,38540,"  00000234","B","23136"
"D890755588","","20090317",1440179,"21257",3000,350400,"600596","103637","103637",38.54,115620,"  00000234","B","23136"
"D890755588","","20090317",1528330,"21257",400,350800,"600596","104112","104130",38.54,15416,"  00000243","B","23136"
"D890755588","","20090317",1559450,"21257",500,351300,"600596","103220","104305",38.54,19270,"  00000218","B","23136"
"D890755588","","20090317",1861145,"21257",100,351400,"600596","105539","105539",38.54,3854,"  00000262","B","23136"
"D890755588","","20090317",1861146,"21257",930,352330,"600596","105539","105539",38.54,35842.2,"  00000262","B","23136"
"D890755588","","20090317",1861147,"21257",970,353300,"600596","105539","105539",38.54,37383.8,"  00000262","B","23136"
"D890755588","","20090317",1887827,"21257",2000,355300,"600596","105535","105712",38.54,77080,"  00000261","B","23136"
"D890755588","","20090317",1903788,"21257",1000,356300,"600596","105749","105803",38.54,38540,"  00000267","B","23136"
"D890755588","","20090317",89441,"21257",243880,3035480,"580024","093128","093128",1.563,381184.44,"  00000005","B"," 8693"
"D890755588","","20090317",89442,"21257",500,3034980,"580024","093128","093128",1.563,781.5,"  00000005","B"," 8693"
"D890755588","","20090317",89443,"21257",5000,3029980,"580024","093128","093128",1.563,7815,"  00000005","B"," 8693"
"D890755588","","20090317",89444,"21257",30000,2999980,"580024","093128","093128",1.563,46890,"  00000005","B"," 8693"
"D890755588","","20090317",89445,"21257",3600,2996380,"580024","093128","093128",1.563,5626.8,"  00000005","B"," 8693"
"D890755588","","20090317",89446,"21257",422300,2574080,"580024","093128","093128",1.563,660054.9,"  00000005","B"," 8693"
"D890755588","","20090317",89447,"21257",300,2573780,"580024","093128","093128",1.563,468.9,"  00000005","B"," 8693"
"D890755588","","20090317",89448,"21257",1000,2572780,"580024","093128","093128",1.51,1510,"  00000005","B"," 8693"
"D890755588","","20090317",89449,"21257",293420,2279360,"580024","093128","093128",1.51,443064.2,"  00000005","B"," 8693"
"D890755588","","20090317",234501,"21257",300,2279060,"580024","093604","093604",1.51,453,"  00000025","B"," 8693"
"D890755588","","20090317",234566,"21257",98000,2181060,"580024","093604","093604",1.51,147980,"  00000025","B"," 8693"
"D890755588","","20090317",234567,"21257",1000,2180060,"580024","093604","093604",1.51,1510,"  00000025","B"," 8693"
"D890755588","","20090317",234584,"21257",1100,2178960,"580024","093604","093604",1.51,1661,"  00000025","B"," 8693"
"D890755588","","20090317",234621,"21257",2100,2176860,"580024","093604","093604",1.51,3171,"  00000025","B"," 8693"
"D890755588","","20090317",234651,"21257",2500,2174360,"580024","093604","093604",1.51,3775,"  00000025","B"," 8693"
"D890755588","","20090317",234671,"21257",3800,2170560,"580024","093604","093604",1.51,5738,"  00000025","B"," 8693"
"D890755588","","20090317",234694,"21257",391200,1779360,"580024","093604","093604",1.51,590712,"  00000025","B"," 8693"
"D890755588","","20090317",242151,"21257",3440,1775920,"580024","093617","093617",1.51,5194.4,"  00000027","B"," 8693"
"D890755588","","20090317",242152,"21257",200,1775720,"580024","093617","093617",1.51,302,"  00000027","B"," 8693"
"D890755588","","20090317",242153,"21257",1000,1774720,"580024","093617","093617",1.51,1510,"  00000027","B"," 8693"
"D890755588","","20090317",242154,"21257",15000,1759720,"580024","093617","093617",1.51,22650,"  00000027","B"," 8693"
"D890755588","","20090317",242155,"21257",400,1759320,"580024","093617","093617",1.51,604,"  00000027","B"," 8693"
"D890755588","","20090317",242156,"21257",300,1759020,"580024","093617","093617",1.51,453,"  00000027","B"," 8693"
"D890755588","","20090317",242157,"21257",10000,1749020,"580024","093617","093617",1.51,15100,"  00000027","B"," 8693"
"D890755588","","20090317",242158,"21257",10000,1739020,"580024","093617","093617",1.51,15100,"  00000027","B"," 8693"
"D890755588","","20090317",242159,"21257",3200,1735820,"580024","093617","093617",1.51,4832,"  00000027","B"," 8693"
"D890755588","","20090317",242160,"21257",900,1734920,"580024","093617","093617",1.51,1359,"  00000027","B"," 8693"
"D890755588","","20090317",242161,"21257",200,1734720,"580024","093617","093617",1.51,302,"  00000027","B"," 8693"
"D890755588","","20090317",242162,"21257",100000,1634720,"580024","093617","093617",1.51,151000,"  00000027","B"," 8693"
"D890755588","","20090317",242163,"21257",20000,1614720,"580024","093617","093617",1.51,30200,"  00000027","B"," 8693"
"D890755588","","20090317",242164,"21257",2000,1612720,"580024","093617","093617",1.51,3020,"  00000027","B"," 8693"
"D890755588","","20090317",242165,"21257",1000,1611720,"580024","093617","093617",1.51,1510,"  00000027","B"," 8693"
"D890755588","","20090317",242166,"21257",57000,1554720,"580024","093617","093617",1.51,86070,"  00000027","B"," 8693"
"D890755588","","20090317",242167,"21257",2000,1552720,"580024","093617","093617",1.51,3020,"  00000027","B"," 8693"
"D890755588","","20090317",242168,"21257",5000,1547720,"580024","093617","093617",1.51,7550,"  00000027","B"," 8693"
"D890755588","","20090317",242169,"21257",50000,1497720,"580024","093617","093617",1.51,75500,"  00000027","B"," 8693"
"D890755588","","20090317",242170,"21257",19900,1477820,"580024","093617","093617",1.51,30049,"  00000027","B"," 8693"
"D890755588","","20090317",242171,"21257",19800,1458020,"580024","093617","093617",1.51,29898,"  00000027","B"," 8693"
"D890755588","","20090317",242172,"21257",600,1457420,"580024","093617","093617",1.51,906,"  00000027","B"," 8693"
"D890755588","","20090317",242173,"21257",1300,1456120,"580024","093617","093617",1.51,1963,"  00000027","B"," 8693"
"D890755588","","20090317",242174,"21257",115480,1340640,"580024","093617","093617",1.51,174374.8,"  00000027","B"," 8693"
"D890755588","","20090317",242175,"21257",30000,1310640,"580024","093617","093617",1.51,45300,"  00000027","B"," 8693"
"D890755588","","20090317",242176,"21257",31280,1279360,"580024","093617","093617",1.51,47232.8,"  00000027","B"," 8693"
"D890755588","","20090317",284134,"21257",779360,500000,"580024","093734","093734",1.51,1176833.6,"  00000035","B"," 8693"
"D890755588","","20090317",344104,"21257",98520,401480,"580024","093909","093909",1.51,148765.2,"  00000042","B"," 8693"
"D890755588","","20090317",344105,"21257",20000,381480,"580024","093909","093909",1.51,30200,"  00000042","B"," 8693"
"D890755588","","20090317",344106,"21257",47720,333760,"580024","093909","093909",1.51,72057.2,"  00000042","B"," 8693"
"D890755588","","20090317",344107,"21257",100,333660,"580024","093909","093909",1.51,151,"  00000042","B"," 8693"
"D890755588","","20090317",344108,"21257",333660,0,"580024","093909","093909",1.52,507163.2,"  00000042","B"," 8693"
"D890755588","","20090317",344109,"21257",2500000,0,"740000","093909","093909",10,25000000,"  00000043","B"," 8694"
"D890755588","","20090317",344109,"21257",30000,0,"600068","093909","093909",10.08,302400,"  00000043","B"," 8694"
"D890755588","","20090317",344110,"21257",10000,0,"010107","093909","093909",108.48,10848000,"  00000044","B"," 8694"
"D890755588","","20090317",344111,"21257",10000,0,"110002","093909","093909",119,11900000,"  00000045","B"," 8695"
"D890755588","","20090317",344112,"21257",10000,0,"122008","093909","093909",105,10500000,"  00000046","B"," 8696"
"D890755588","","20090317",344113,"21257",10000,0,"126016","093909","093909",86.3,8630000,"  00000047","B"," 8697"
"D890755588","","20090317",344114,"21257",90800,0,"600880","093909","093909",14,1271200,"  00000048","B"," 8698"
